,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZNF608,517.522030374922,-0.534311220759165,0.0914115612774116,-5.84511645236714,5.06214010741933e-09,1.20334108623025e-07
KDM4C,650.958535331559,-0.601528576271051,0.103484322778822,-5.81275076377227,6.14545254175125e-09,1.43779331111683e-07
MIF,19034.4766445425,0.508983115207333,0.0878486551296644,5.79386348551466,6.87853775394786e-09,1.58224165333696e-07
HPSE,213.111897653288,0.780532082253347,0.134814691705001,5.7896663366726795,7.05263837724393e-09,1.61601756424967e-07
JAZF1,518.348688302888,-0.54215333355804,0.0936785036869572,-5.78738250740787,7.1491658435703085e-09,1.63602725694368e-07
STX18,1076.30705921459,-0.537048297913073,0.0930841030593166,-5.7694953301623,7.950928141665491e-09,1.80556134466097e-07
ZNF75A,417.765093122555,-0.590573722864296,0.102395394523356,-5.767580911362081,8.04174795458463e-09,1.8215327437002498e-07
EGR3,133.777053681048,1.6718733773321202,0.29029166933072303,5.75928817105456,8.44693889435077e-09,1.90361242687517e-07
ZNF256,202.411197408401,-0.673100013912186,0.117117252249694,-5.74723194903118,9.071624881044871e-09,2.0289630441491698e-07
TRIT1,1111.14401161132,-0.506348903642877,0.0881218266959422,-5.74601007069448,9.137386689809509e-09,2.03854294518824e-07
FBXW9,534.020375831643,-0.563582263632972,0.0981643268910968,-5.741212530884139,9.40010253770489e-09,2.09452660680364e-07
NIPAL1,374.502394173202,0.595262358193084,0.103710887581964,5.73963228038753,9.4882346079819e-09,2.10887874455658e-07
TMSB15A,273.72119871878897,0.645358127450124,0.11246703518527199,5.738198098553929,9.568915194366351e-09,2.1241558186145803e-07
ZNF408,632.713118888747,-0.5978075011120091,0.10466460963627301,-5.7116488867582795,1.1188674818217e-08,2.4599036910672304e-07
C19orf54,1812.15187997867,-0.510198195663745,0.08998922951509901,-5.66954732708475,1.4317529795011003e-08,3.07463764837067e-07
SKIL,1325.11472863914,-0.649285318175431,0.114571116153638,-5.66709429019395,1.45239427294911e-08,3.10770428006115e-07
ZNF10,182.763498953625,-0.816819228862818,0.14415787775828,-5.66614354737129,1.4604718656601e-08,3.11748502320554e-07
IFT88,293.69092988806,-0.6731346260182111,0.11921041450609698,-5.6466092229197296,1.63643216107557e-08,3.45719319128631e-07
NEK11,134.122283354837,-1.13136810902617,0.200714384978844,-5.636706652318031,1.73333003576294e-08,3.63447421767699e-07
GORAB,442.498555881652,-0.7236074116597679,0.12889643047929303,-5.61386695480304,1.97854363737043e-08,4.07124870417354e-07
VPS33B,814.805070334986,-0.5766468114444849,0.102862769057189,-5.605981802063731,2.07077720657274e-08,4.23711041542806e-07
ACVR1C,197.51818454295503,0.8115320214221451,0.14510650803705402,5.59266453586573,2.2361107814215098e-08,4.5336699891055603e-07
CMTR2,545.0095902009169,-0.51516358534921,0.0921408917705915,-5.591041886504019,2.25711118732344e-08,4.5710357655806505e-07
PLPP1,354.070766672771,0.602156434968776,0.10772516015307,5.589747410105059,2.274001523422e-08,4.59353529627678e-07
SLCO4A1,405.00756190166,0.6784132273470411,0.121377653302953,5.58927618788077,2.2801804410382002e-08,4.596812746269871e-07
MIS18BP1,2004.9702510172897,-0.574628923599657,0.10283952731113902,-5.5876270401470105,2.3019335290597e-08,4.62493560228368e-07
USP30,1108.27472166526,-0.62327904592578,0.11155677946260302,-5.58710146463773,2.3089083641609103e-08,4.63371327575002e-07
