"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUS3L",1823.74609129042,-0.246716898268686,0.0945470512381986,-2.60946158592631,0.00906848270535626,0.0328270950700203
"ATP6V0E2",1537.91323548249,0.209496266529802,0.080294774235197,2.60908967644833,0.00907834480909692,0.0328561060554757
"AC006011.4",90.559349381512,0.505743645797399,0.193844791301761,2.60901333691294,0.00908037032559302,0.0328567490352807
"BTK",33.8197764620764,-0.965481273762051,0.370067477394606,-2.60893305339704,0.00908250092297359,0.0328577719046578
"HOXA11",838.129775357021,0.222628634539263,0.0853495953217264,2.60843222161817,0.009095802284899,0.0328939806054711
"ULK4P1",104.061370297045,0.615347667344832,0.235908480845624,2.60841689598903,0.0090962095853496,0.0328939806054711
"CYFIP2",1987.69279097238,-0.244282423925001,0.0936584469964583,-2.60822629201014,0.00910127651860444,0.0329056115854627
"DIMT1",1738.65487129241,0.16815155193203,0.064475419222172,2.6079947049682,0.00910743631834963,0.0329211882855407
"RUNDC1",1274.81043321344,-0.170269552773182,0.0652927702200495,-2.60778570428763,0.00911299855613413,0.0329345990501262
"ANKRD29",286.980475934628,0.290722986520873,0.111494602552282,2.60750726820654,0.00912041342350743,0.0329546984522223
"CLCN7",4223.82237069162,-0.15009360458041,0.057564170203605,-2.60741367502612,0.00912290705758658,0.0329570114569173
"RET",216.011342714858,0.467533575932177,0.179345439707057,2.60688856486034,0.00913690903149317,0.033000889597599
"UBL4A",3411.21256646566,0.137306183484049,0.052677433839777,2.6065465508756,0.00914603908987983,0.0330271569977972
"ABCC8",259.521325199404,-0.48002124325814,0.184177236296213,-2.60630060973507,0.0091526095178021,0.0330441725555409
"SMPD2",236.550593108305,0.309582494188377,0.11881671668694,2.60554661684574,0.00917277904241637,0.0331102688090145
"RNF145",2417.31817349901,0.179642859978824,0.0689651985905051,2.60483350516382,0.00919189147774996,0.0331725233135523
"TOP3B",2761.64959276721,-0.189889298169253,0.0729099766403368,-2.60443504331337,0.00920258630933253,0.0332043805126302
"SKP1",2990.28160490682,0.159028985114095,0.0610782294258447,2.60369343723647,0.00922252080545784,0.0332695561862134
"TMEM138",655.966346648928,0.210129502215116,0.0807083314335026,2.60356642843306,0.00922593868601845,0.0332751350458609
"C5orf42",1081.23820079528,-0.300617366377474,0.115484308801978,-2.60310140395736,0.00923846241295389,0.0333135469812884
"FNDC4",519.954919431631,0.25377506582359,0.0975518599652399,2.60143749093063,0.0092833981555535,0.0334687961483975
"LYPD1",94.7478981769791,0.552905948795028,0.212557515533399,2.60120630130413,0.00928965708480453,0.0334845717869267
"GZMM",6.91867034432301,-1.87154126485707,0.719622982294719,-2.60072470016054,0.00930270742502051,0.0335248157122598
"SRD5A1",842.926377091588,0.390245729899886,0.150142817090944,2.5991634995333,0.00934512509448985,0.033670854975709
"RPUSD2",420.666913268677,-0.230590903926893,0.0887491407292559,-2.59823252407985,0.00937050165892249,0.0337554477304094
"SLC35B2",1286.9327957816,0.165006637063269,0.0635096281413503,2.59813577708283,0.0093731423152689,0.0337581210264931
"LMTK3",163.035241049941,0.378276732543809,0.145607606845499,2.59791875396447,0.00937906825753433,0.0337726230634301
"NOS2",243.938563129814,0.286419746322042,0.110252754454535,2.59784662740697,0.00938103845491389,0.0337728780657671
